jeden ; one ; ; one.png
dwa ; two ; ; two.png
trzy ; three ; ; three.png
cztery ; four ; ; four.png
pięć ; five ; ; five.png
sześć ; six ; ; six.png
siedem ; seven ; ; seven.png
osiem ; eight ; ; eight.png
dziewięć ; nine ; ; nine.png
dziesięć ; ten ; ; ten.png
jedenaście ; eleven ; ; eleven.png
dwanaście ; twelve ; ; twelve.png
trzynaście ; thirteen ; ; thirteen.png
czternaście ; fourteen ; ; fourteen.png
piętnaście ; fifteen ; ; fifteen.png
szesnaście ; sixteen ; ; sixteen.png
siedemnaście ; seventeen ; ; seventeen.png
osiemnaście ; eighteen ; ; eighteen.png
dziewiętnaście ; nineteen ; ; nineteen.png
dwadzieścia ; twenty ; ; twenty.png
trzydzieści ; thirty ; ; thirty.png
czterdzieści ; forty ; ; forty.png
pięćdziesiąt ; fifty ; ; fifty.png
sześćdziesiąt ; sixty ; ; sixty.png
siedemdziesiąt ; seventy ; ; seventy.png
osiemdziesiąt ; eighty ; ; eighty.png
dziewięćdziesiąt ; ninety ; ; ninety.png
sto ; one hundred ; ; one_hundred.png
dwieście ; two hundred ; ; two_hundred.png
trzysta ; three hundred ; ; three_hundred.png
czterysta ; four hundred ; ; four_hundred.png
pięćset ; five hundred ; ; five_hundred.png
sześćset ; six hundred ; ; six_hundred.png
siedemset ; seven hundred ; ; seven_hundred.png
osiemset ; eight hundred ; ; eight_hundred.png
dziewięćset ; nine hundred ; ; nine_hundred.png
oba ; both ; ; both.png
obydwa ; both ; ; both.png
dwoje ; two (for people) ; ; two.png
oboje ; both (people) ; ; both.png
troje ; three (people) ; ; three.png
czworo ; four (people) ; ; four.png
pół ; half ; ; half.png
półtora ; one and a half ; ; one_and_a_half.png
kilka ; several ; ; several.png
kilkanaście ; a dozen or so ; ; a_dozen_or_so.png
kilkadziesiąt ; several tens ; ; several_tens.png
kilkaset ; several hundreds ; ; several_hundreds.png
parę ; a couple ; ; a_couple.png
ile ; how many ; ; how_many.png
ileż ; how many ; ; how_many.png
tyle ; so many ; ; so_many.png
wiele ; many ; ; many.png
niewiele ; few ; ; few.png
